SNo,MSB Required?,Max Private Path Length,Min Private Path Width,CBA Required?,Min Road Width,Min Plot Extent,Min Plot Width/Frontage,Max Units,Max Units Desc,Blocks,Type,Max Height,Max Height Desc,Max FSI,Max Plot Coverage
74,0,80,3.6,0,10,660,12,6,6,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
75,0,100,4.8,1,10,300,6,8,8,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
76,0,100,4.8,0,10,660,12,8,8,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
77,0,120,7.2,1,10,300,6,10,10,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
78,0,120,7.2,0,10,660,12,10,10,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
79,0,240,9,1,10,300,6,20,20,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
80,0,240,9,0,10,660,12,20,20,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
81,0,10000000,10,1,10,300,6,10000000,any,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
82,0,10000000,10,0,10,660,12,10000000,any,2 or more,Group,15.25,G+3/S+4 upto 15.25m,1.5,no restrictions
83,1,10000000,12,0,12,1200,25,10000000,any,no restrictions,MSB,24,G+6/S+7 upto 24m,1.5,30%
84,1,10000000,15,0,15,1200,25,10000000,any,no restrictions,MSB,30,G+8/S+9 upto 30m,1.75,30%
85,1,10000000,18,0,18,1500,25,10000000,any,no restrictions,MSB,60,60m,2.5,30%
86,1,10000000,18,0,18,1200,25,10000000,any,no restrictions,MSB,60,60m,2.25,40%
87,1,10000000,18,0,18,1200,25,10000000,any,no restrictions,MSB,60,60m,2,50%
88,1,10000000,18,0,30,1500,25,10000000,any,no restrictions,MSB,120,no restrictions,2.5,30%
89,1,10000000,18,0,30,1200,25,10000000,any,no restrictions,MSB,120,no restrictions,2.25,40%
90,1,10000000,18,0,30,1200,25,10000000,any,no restrictions,MSB,120,no restrictions,2,50%
